"","カいカ","カカ","カ蔼动カ","2011","2012","2013","2014","2015","2016","2017","2018","2019","る1","る10","る11","る12","る2","る3","る4","る5","る6","る7","る8","る9","キА放","程蔼放","程放","獴ら计","程10だ牧硉","程10だ牧..","程俐丁硉","程俐丁..","キА癸楞","程癸楞","キА代溃","羆ら酚计","獴秖"
"293",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.2,33.5,22.8,8,5.9,320,10.6,170,74,53,1009.8,209.6,100
"294",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.7,34.3,24.9,14,7.4,30,25.6,60,77,61,1008.4,226.8,300
"295",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.4,35.6,24.3,7,12.8,350,24.8,240,71,52,1007.8,241.9,300
"296",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.1,34.7,24.9,13,10.9,150,18.6,150,75,55,1007.1,222,200
"297",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.2,35.1,25.3,8,7.4,310,12.9,140,74,50,1009,235.9,0
"298",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,34.5,21.3,7,6.9,350,11.1,350,73,54,1010.5,213.2,100
"299",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.5,32.1,19.6,4,6.1,350,10.3,360,74,52,1014.4,164.6,0
"300",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.4,29.4,15.5,1,7.7,350,11.8,350,69,49,1017.6,142.5,0
"301",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20.4,29.3,10.4,7,9.1,360,16.6,360,72,44,1016.3,149,0
"302",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19.8,31.2,10.2,2,8.9,350,13.6,360,67,46,1017.5,136.8,0
"303",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23.5,31,12.8,5,8.4,350,14.9,360,65,36,1015,255.7,100
"304",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26.3,33.2,17.4,4,7.2,350,12,150,67,45,1013.2,219.9,0
"305",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29.1,33.7,23.2,4,6.3,310,10.4,320,72,59,1010.7,289.3,100
"306",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,29.1,34.2,24.5,14,10.9,180,18.8,180,75,57,1005.5,200.8,800
"307",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29.2,33.9,24.3,14,6.9,350,11.5,360,76,60,1004.6,208.6,400
"308",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28,34.1,23,26,8.9,230,19.3,200,79,58,1003.2,127.7,1600
"309",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29.1,33.7,25.2,10,9.2,360,16.1,360,74,47,1007.8,214,100
"310",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26.8,31.2,21,2,9.3,360,17.9,350,70,39,1013.3,222.8,0
"311",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25.6,32.1,20.8,2,7.1,360,13,350,73,50,1015.8,177.5,0
"312",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23.4,32.4,16,0,6.8,360,9.9,360,70,34,1017.4,200.4,0
"313",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21.9,28.8,14.6,4,6.7,310,10.3,360,71,43,1019.2,154.5,0
"314",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23.8,31.3,18.7,3,7.3,320,12.2,310,71,32,1017.4,221.1,0
